code,display_name,city,raw_name
USM00072501,"Ny Upton; Ny., United States",Ny Upton; Ny.,NY UPTON; NY.
USM00072503,"Ny La Guardia, United States",Ny La Guardia,NY LA GUARDIA
USM00072506,"Ma Nantucket Mem Ap, United States",Ma Nantucket Mem Ap,MA NANTUCKET MEM AP
USM00072509,"Ma Boston/Logan Intl, United States",Ma Boston,MA BOSTON/LOGAN INTL
USM00072514,"Pa Williamsport/Lycomi, United States",Pa Williamsport,PA WILLIAMSPORT/LYCOMI
USM00072515,"Ny Binghamton/Broome C, United States",Ny Binghamton,NY BINGHAMTON/BROOME C
USM00072518,"Ny Albany County Airport; Ny., United States",Ny Albany County Airport; Ny.,NY ALBANY COUNTY AIRPORT; NY.
USM00072520,"Pa Pittsburgh; Pa., United States",Pa Pittsburgh; Pa.,PA PITTSBURGH; PA.
USM00072524,"Oh Cleveland, United States",Oh Cleveland,OH CLEVELAND
USM00072528,"Ny Buffalo/Greater Buffalo Int, United States",Ny Buffalo,NY BUFFALO/GREATER BUFFALO INT
USM00072531,"Il Rantoul, United States",Il Rantoul,IL RANTOUL
USM00072532,"Il Peoria Gtr Peoria Ap, United States",Il Peoria Gtr Peoria Ap,IL PEORIA GTR PEORIA AP
USM00072533,"In Fort Wayne/Baer Fld, United States",In Fort Wayne,IN FORT WAYNE/BAER FLD
USM00072534,"Il Chicago/Midway, United States",Il Chicago,IL CHICAGO/MIDWAY
USM00072535,"In South Bend St Joseph, United States",In South Bend St Joseph,IN SOUTH BEND ST JOSEPH
USM00072536,"Oh Toledo Express, United States",Oh Toledo Express,OH TOLEDO EXPRESS
USM00072537,"Mi Detroit Metro., United States",Mi Detroit Metro.,MI DETROIT METRO.
USM00072545,"Ia Cedar Rapids Echo Si, United States",Ia Cedar Rapids Echo Si,IA CEDAR RAPIDS ECHO SI
USM00072546,"Ia Des Moines Intl, United States",Ia Des Moines Intl,IA DES MOINES INTL
USM00072548,"Ia Waterloo, United States",Ia Waterloo,IA WATERLOO
USM00072557,"Ia Sioux City Muni, United States",Ia Sioux City Muni,IA SIOUX CITY MUNI
USM00072558,"Ne Valley; Ne., United States",Ne Valley; Ne.,NE VALLEY; NE.
USM00072562,"Ne North Platte/Lee Bird; Ne., United States",Ne North Platte,NE NORTH PLATTE/LEE BIRD; NE.
USM00072563,"Ne Sydney, United States",Ne Sydney,NE SYDNEY
USM00072564,"Wy Cheyenne/Warren Afb, United States",Wy Cheyenne,WY CHEYENNE/WARREN AFB
USM00072566,"Ne Scottsbluff Aaf, United States",Ne Scottsbluff Aaf,NE SCOTTSBLUFF AAF
USM00072569,"Wy Casper/Natrona Coun, United States",Wy Casper,WY CASPER/NATRONA COUN
USM00072572,"Ut Salt Lake City/Intnl Ut., United States",Ut Salt Lake City,UT SALT LAKE CITY/INTNL UT.
USM00072575,"Ut Ogden, United States",Ut Ogden,UT OGDEN
USM00072576,"Wy Lander Hunt Fld Ap, United States",Wy Lander Hunt Fld Ap,WY LANDER HUNT FLD AP
USM00072581,"Ut Wendover/Af. Aux. F, United States",Ut Wendover,UT WENDOVER/AF. AUX. F
USM00072582,"Nv Elko; Nv., United States",Nv Elko; Nv.,NV ELKO; NV.
USM00072583,"Nv Winnemucca Muni Ap, United States",Nv Winnemucca Muni Ap,NV WINNEMUCCA MUNI AP
USM00072591,"Ca Red Bluff Municipal, United States",Ca Red Bluff Municipal,CA RED BLUFF MUNICIPAL
USM00072597,"Or Medford/Medford-Jackson Cou, United States",Or Medford,OR MEDFORD/MEDFORD-JACKSON COU
USM00072632,"Mi White Lake; Mi., United States",Mi White Lake; Mi.,MI WHITE LAKE; MI.
USM00072634,"Mi Gaylord; Mi., United States",Mi Gaylord; Mi.,MI GAYLORD; MI.
USM00072636,"Mi Muskegon, United States",Mi Muskegon,MI MUSKEGON
USM00072637,"Mi Flint Bishop Ap, United States",Mi Flint Bishop Ap,MI FLINT BISHOP AP
USM00072639,"Mi Alpena/Phelps Colli, United States",Mi Alpena,MI ALPENA/PHELPS COLLI
USM00072641,"Wi Madison/Dane County, United States",Wi Madison,WI MADISON/DANE COUNTY
